Date,Buying_USD,Selling_USD,Buying_GBP,Selling_GBP,Buying_EUR,Selling_EUR,Buying_CHF,Selling_CHF,Buying_CAD,Selling_CAD,Buying_AUD,Selling_AUD,Buying_SGD,Selling_SGD,Buying_JPY,Selling_JPY,Buying_CNY,Selling_CNY
1/3/2005,103.52,104.57,196.92,199.69,138.77,141.08,89.46,91.46,,,79.87,81.61,,,1.0026,1.0206,,
1/4/2005,102.64,103.94,195.22,198.53,137.77,140.46,88.87,91.24,,,79.2,81.22,,,0.9949,1.0167,,
1/5/2005,100.12,101.76,188.23,191.99,132.47,135.33,85.17,87.55,,,76.19,78.24,,,0.9554,0.9774,,
1/6/2005,98.53,100.33,185.42,189.45,130.35,133.4,83.86,86.4,,,74.98,77.05,,,0.9437,0.9678,,
1/10/2005,97.59,99.54,182.29,186.85,127.12,130.65,81.83,84.66,,,73.43,75.91,,,0.9281,0.956,,
1/11/2005,97.4,99.11,182.61,186.75,127.36,130.58,82.17,84.81,,,73.52,75.82,,,0.9318,0.9575,,
1/12/2005,97.47,98.94,182.65,186.04,127.48,130.03,81.96,84.16,,,73.78,75.57,,,0.9393,0.9602,,
1/13/2005,97.58,99.05,184.08,187.49,128.98,131.58,83.08,85.32,,,74.5,76.3,,,0.9484,0.9698,,
1/17/2005,97.76,99.17,182.5,186.15,127.65,130.55,82.18,84.64,,,73.75,75.92,,,0.9533,0.9775,,
1/18/2005,97.79,99.18,181.18,184.67,126.93,129.72,81.8,84.15,,,73.1,75.15,,,0.9505,0.9735,,
1/19/2005,97.84,99.21,182.23,185.7,127,129.77,82.01,84.35,,,73.55,75.59,,,0.9517,0.9745,,
1/20/2005,97.87,99.18,182.82,186.18,126.85,129.53,82.02,84.3,,,74.02,76.02,,,0.9493,0.9714,,
1/25/2005,98,99.2,183.71,186.88,127.19,129.73,82.04,84.23,,,74.97,76.91,,,0.9499,0.9711,,
1/26/2005,98.12,99.31,182.84,185.98,126.91,129.43,81.74,83.92,,,74.7,76.63,,,0.9422,0.9629,,
1/27/2005,98.17,99.36,184.31,187.47,127.83,130.36,82.41,84.61,,,75.63,77.57,,,0.9467,0.9676,,
1/28/2005,98.58,99.64,185.63,188.65,127.91,130.36,82.59,84.73,,,76.04,77.97,,,0.9512,0.9719,,
1/31/2005,98.81,100.13,185.82,189.24,128.22,130.92,82.52,84.82,,,75.97,78.01,,,0.9497,0.9719,,
2/1/2005,98.48,99.8,185.25,188.67,128.01,130.72,82.27,84.56,,,75.72,77.78,,,0.9466,0.9686,,
2/2/2005,98.7,100,185.61,188.99,128.56,131.25,82.44,84.72,,,75.95,77.99,,,0.9482,0.9701,,
2/3/2005,98.78,100.03,185.65,188.94,128.15,130.76,82.28,84.3,,,76.13,78.14,,,0.9452,0.9666,,
2/7/2005,98.84,99.99,184.75,187.82,126.4,128.85,80.89,82.98,,,75.74,77.66,,,0.9447,0.9651,,
2/8/2005,98.94,99.97,183.36,186.2,125.79,128.07,80.29,82.26,,,75.27,77.08,,,0.939,0.9581,,
2/9/2005,98.97,99.94,182.98,185.7,125.79,128,80.38,82.32,,,75.13,76.89,,,0.9328,0.9511,,
2/10/2005,99.03,99.92,183.73,186.4,126.33,128.5,80.84,82.71,,,76.24,78.02,,,0.9337,0.952,,
2/11/2005,99.02,99.91,184.51,187.21,126.92,129.13,81.41,83.67,,,76.83,78.64,,,0.9318,0.9501,,
2/14/2005,99,99.93,185.39,188.06,127.61,129.8,81.84,83.79,,,77.39,79.16,,,0.9395,0.9576,,
2/15/2005,98.94,99.87,186.2,188.87,127.77,129.95,81.96,83.89,,,77.18,78.93,,,0.9358,0.9539,,
2/16/2005,98.93,99.86,186.91,189.61,128.24,130.43,82.5,84.47,,,77.15,78.92,,,0.9408,0.958,,
2/17/2005,98.92,99.85,186.05,188.73,128.53,130.73,82.78,84.76,,,77.12,78.88,,,0.9353,0.9533,,
2/18/2005,98.94,99.77,186.8,189.39,128.75,130.91,82.91,84.88,,,77,78.8,,,0.9454,0.9514,,
2/21/2005,98.97,99.74,186.78,189.16,128.69,130.68,83.01,84.74,,,77.35,79,,,0.9321,0.9485,,
2/22/2005,98.92,99.79,187.45,190.15,129.15,131.42,83.36,85.4,,,77.55,79.4,,,0.9369,0.9557,,
2/24/2005,98.91,99.78,188.35,190.73,130.42,132.36,84.56,86.4,,,77.48,78.97,,,0.9404,0.9565,,
2/25/2005,98.91,99.82,188.57,191.25,130.1,132.09,84.08,86.08,,,77.07,78.82,,,0.9352,0.953,,
2/28/2005,98.97,99.9,189.95,192.4,130.99,132.89,84.83,86.63,,,77.76,79.2,,,0.942,0.9576,,
3/1/2005,99.01,99.92,189.57,192.25,130.23,132.42,84.38,86.38,,,77.5,79.26,,,0.9425,0.9604,,
3/2/2005,99.07,99.97,189.51,192.17,129.88,132.05,84.17,86.15,,,76.89,78.63,,,0.943,0.9608,,
3/3/2005,99.14,100.04,189.18,191.84,129.71,131.87,83.83,85.8,,,77.01,78.75,,,0.9412,0.959,,
3/4/2005,99.2,100.12,188.76,191.45,129.58,131.78,83.44,85.42,,,77.09,78.84,,,0.9375,0.9554,,
3/7/2005,99.2,100.12,190.27,192.98,130.79,133,84.23,86.23,,,77.83,79.6,,,0.9433,0.9613,,
3/9/2005,99.17,100.06,190.84,193.22,131.99,133.96,84.85,86.6,,,78.66,80.17,,,0.9445,0.9592,,
3/10/2005,99.05,99.08,190.51,193.28,132.52,134.78,85.11,87.14,,,78.39,80.22,,,0.9494,0.9678,,
3/11/2005,98.94,99.87,189.83,192.55,132.36,134.61,85.19,87.23,,,77.56,79.33,,,0.9465,0.9648,,
3/14/2005,98.62,99.66,189.29,192.23,132.18,134.57,85.1,87.24,,,77.59,79.45,,,0.9406,0.9598,,
3/15/2005,98.62,99.53,188.39,191.04,131.26,133.46,84.42,86.41,,,77.24,78.99,,,0.938,0.9558,,
3/16/2005,98.79,99.83,188.48,191.39,130.88,133.25,84.12,86.23,,,77.41,79.26,,,0.9411,0.9603,,
3/17/2005,98.8,99.77,189.88,192.39,132.09,134.05,85.12,86.98,,,78.05,79.52,,,0.9437,0.9598,,
3/18/2005,98.82,99.78,189.63,192.41,131.7,133.97,84.8,86.85,,,77.78,79.57,,,0.9406,0.9589,,
3/21/2005,98.88,99.83,188.86,191.62,130.68,132.93,84.06,86.09,,,77.84,79.63,,,0.938,0.9563,,
3/22/2005,98.94,99.88,187.25,189.96,129.8,132.03,83.38,85.38,,,77.09,78.87,,,0.9372,0.9553,,
3/23/2005,98.93,99.87,186.22,188.92,128.93,131.15,82.69,84.67,,,76.63,78.4,,,0.9342,0.9523,,
3/24/2005,98.93,99.86,184.6,187.26,127.94,130.13,82.07,84.01,,,75.87,77.61,,,0.927,0.9448,,
